1,Pee Wee Hunt,Twelfth Street Rag
2,Peggy Lee,Manana
3,Bing Crosby,Now Is The Hour
4,Margaret Whiting,A Tree In The Meadow
5,Jon and Sondra Steele,My Happiness
6,Ken Griffin and Jerry Wayne,You Cant Be True, Dear
7,Dick Haymes,Little White Lies
8,Al Trace,You Call Everybody Darlin
9,The Pied Pipers,My Happiness
10,Art Mooney,Im Looking Over A Four Leaf Clover
11,Doris Day,Its Magic
12,Gordon Jenkins,Maybe Youll Be There
13,Vaughn Monroe,Ballerina
14,The King Cole Trio,Nature Boy
15,Kay Kyser,Woody Woodpecker
16,Doris Day and Buddy Clark,Love Somebody
17,Gracie Fields,Now Is The Hour
18,Francis Craig,Beg Your Pardon
19,Ken Griffin,You Cant Be True, Dear
20,The Andrews Sisters,Toolie Oolie Doolie
21,Dinah Shore,Buttons & Bows
22,Peggy Lee,Golden Earrings
23,Art Mooney,Baby Face
24,Arthur Godfrey,Too Fat Polka
25,Ella Fitzgerald,My Happiness
26,Perry Como,Because
27,Sammy Kaye,Serenade Of The Bells
28,Tommy Dorsey,Until
29,Spike Jones,William Tell Overture
30,Frankie Carle,Beg Your Pardon
31,Tex Beneke,St. Louis Blues March
32,Primo Scala,Underneath The Arches
33,Kay Kyser,On a Slow Boat to China
34,Sportsmen and Mel Blanc,Woody Woodpecker
35,Ray Noble,Ill Dance at Your Wedding
36,Freddy Martin,The Dickey-Bird Song
37,Russ Morgan and Milt Herth,Im Looking Over A Four Leaf Clover
38,Vaughn Monroe,How Soon
39,Jo Stafford,Serenade Of The Bells
